return_id,original_order_id,return_date,return_month,customer_id,employee_id,product_id,region,province,return_quantity,unit_price,return_amount,return_reason,status
RET000001,ORD0044684,2024-03-13,3,CUS00166,EMP1039,PRD0081,Miền Trung,Đà Nẵng,16,30000,480000,Hàng lỗi,Đã xử lý
RET000002,ORD0044962,2024-09-13,9,CUS01548,EMP1044,PRD0078,Miền Trung,Quảng Nam,21,10000,210000,Khách từ chối nhận,Từ chối
RET000003,ORD0029586,2024-07-31,7,CUS01590,EMP1079,PRD0012,Miền Nam,TP.HCM,3,12000,36000,Hàng hết hạn,Đã xử lý
RET000004,ORD0041144,2024-09-17,9,CUS01864,EMP1042,PRD0028,Miền Trung,Đà Nẵng,23,15000,345000,Hàng vỡ vận chuyển,Đã xử lý
RET000005,ORD0029299,2024-02-21,2,CUS01140,EMP1039,PRD0046,Miền Trung,Khánh Hòa,16,35000,560000,Khách từ chối nhận,Đã xử lý
RET000006,ORD0055405,2024-12-16,12,CUS01016,EMP1045,PRD0008,Miền Trung,Huế,57,18000,1026000,Hàng vỡ vận chuyển,Đã xử lý
RET000007,ORD0014117,2024-12-12,12,CUS00516,EMP1016,PRD0077,Miền Bắc,Bắc Ninh,10,10000,100000,Hàng lỗi,Đã xử lý
RET000008,ORD0038933,2024-08-24,8,CUS01342,EMP1028,PRD0051,Miền Bắc,Nam Định,44,8500,374000,Hàng lỗi,Đang xử lý
RET000009,ORD0043271,2024-10-01,10,CUS00154,EMP1021,PRD0001,Miền Bắc,Hải Dương,41,12000,492000,Hàng lỗi,Đã xử lý
RET000010,ORD0021813,2024-12-31,12,CUS00516,EMP1016,PRD0030,Miền Bắc,Bắc Ninh,5,8500,42500,Hàng hết hạn,Đã xử lý
RET000011,ORD0036841,2024-08-31,8,CUS00516,EMP1016,PRD0048,Miền Bắc,Bắc Ninh,4,12000,48000,Hàng lỗi,Từ chối
RET000012,ORD0019863,2024-08-31,8,CUS01177,EMP1007,PRD0055,Miền Bắc,Hải Dương,14,8500,119000,Hàng hết hạn,Đang xử lý
RET000013,ORD0048944,2024-06-15,6,CUS00299,EMP1018,PRD0004,Miền Bắc,Hải Dương,29,25000,725000,Hàng lỗi,Đã xử lý
RET000014,ORD0052029,2024-04-05,4,CUS01351,EMP1103,PRD0057,Miền Nam,TP.HCM,15,50000,750000,Hàng hết hạn,Đã xử lý
RET000015,ORD0043618,2024-05-22,5,CUS00573,EMP1041,PRD0062,Miền Trung,Huế,24,20000,480000,Hàng hết hạn,Đã xử lý
RET000016,ORD0014971,2024-10-10,10,CUS01604,EMP1004,PRD0071,Miền Bắc,Hưng Yên,38,12000,456000,Không đúng đơn hàng,Đang xử lý
RET000017,ORD0010444,2024-12-16,12,CUS00783,EMP1044,PRD0057,Miền Trung,Huế,26,50000,1300000,Sai sản phẩm,Đã xử lý
RET000018,ORD0058093,2024-12-23,12,CUS01935,EMP1045,PRD0062,Miền Trung,Bình Định,35,20000,700000,Khách từ chối nhận,Đã xử lý
RET000019,ORD0058537,2024-02-10,2,CUS00425,EMP1049,PRD0076,Miền Trung,Huế,28,9000,252000,Hàng vỡ vận chuyển,Đã xử lý
RET000020,ORD0033708,2024-04-03,4,CUS01749,EMP1064,PRD0022,Miền Nam,Đồng Nai,12,15000,180000,Sai sản phẩm,Đã xử lý
RET000021,ORD0033535,2024-12-10,12,CUS00166,EMP1039,PRD0057,Miền Trung,Đà Nẵng,20,50000,1000000,Khách từ chối nhận,Đã xử lý
